,,HDI,balanced accuracy,F1,precision,recall
0,NGAr101,0.604,0.7530939603136999,0.6289490782854067,0.7217393527276446,0.5572999256486008
0,NGAr102,0.6559999999999999,0.8217935863223582,0.7587121443244453,0.8523653712572661,0.6836017387097484
0,NGAr103,0.426,0.6534469340276813,0.382385251568714,0.4605293183727174,0.3269135325907136
0,NGAr104,0.622,0.8364238066684926,0.7323820241301702,0.7901655985032443,0.6824737837373216
0,NGAr105,0.598,0.6473259773835616,0.4083690009432933,0.5437302153509652,0.3269700589572656
0,NGAr106,0.509,0.7253185600743222,0.5184552567219907,0.5998872990983928,0.4564889101564199
0,NGAr107,0.609,0.7491775709714603,0.5751633986928104,0.6637322329206786,0.5074490833245697
0,NGAr108,0.48200000000000004,0.730350000587299,0.5332890346252184,0.6117062259227041,0.4726925859298477
0,NGAr109,0.643,0.8327245369882905,0.7681335766916785,0.8104797660500191,0.7299926996641846
0,NGAr110,0.514,0.7437979748278065,0.5336969810109436,0.5652272453285111,0.5054985811504326
0,NGAr111,0.483,0.7272475079008198,0.5224771314382756,0.5396835928590682,0.5063339402710989
0,NGAr112,0.45399999999999996,0.7137301067296565,0.4709032555600522,0.4716379078744574,0.4701708883657772
0,NGAr113,0.5670000000000001,0.7457960783855697,0.5390614762651239,0.5829449552840408,0.5013224528114535
0,NGAr114,0.6729999999999999,0.8977249589938998,0.8288388389200236,0.7817197145283062,0.8820026409590306
0,NGAr115,0.48200000000000004,0.6988780421020228,0.4578217932369668,0.520145086925257,0.40883550827030174
0,NGAr116,0.662,0.8456151447234714,0.7385996622122137,0.7656606114964277,0.7133862594371212
0,NGAr117,0.606,0.8045621481654409,0.6890988372093023,0.7782802053486151,0.6182544575113809
0,NGAr118,0.626,0.7882819749123342,0.6446190254630172,0.7114442564447367,0.5892695405253238
0,NGAr119,0.562,0.6981372795806312,0.48589745579857496,0.5787164285802324,0.4187371800588601
0,NGAr120,0.642,0.8045935950363463,0.6920558113611461,0.7725177455388705,0.6267738937900811
0,NGAr121,0.33899999999999997,0.7945704602969627,0.5991392270224299,0.5963829150455342,0.6019211350749554
0,NGAr122,0.64,0.8086724270883106,0.7142496947164941,0.7707639778062313,0.6654567898959936
0,NGAr123,0.655,0.8183835241951196,0.6924924662619557,0.7405116496289762,0.6503217338996337
0,NGAr124,0.634,0.7636079461835591,0.6370526612870282,0.7198667270926701,0.5713267569421779
0,NGAr125,0.414,0.6853182034952203,0.42681708753777603,0.4576956614279731,0.39984165162157137
0,NGAr126,0.33899999999999997,0.7738423384383188,0.5461974615279632,0.5316100050717696,0.561608069262302
0,NGAr127,0.5579999999999999,0.7743965443256375,0.6151804154089774,0.6868334325078959,0.5570652930530419
0,NGAr128,0.609,0.8433366908853531,0.7420658896419899,0.7824107856423086,0.7056777226429877
0,NGAr129,0.501,0.6675190109934157,0.4209788743992455,0.5433982683982684,0.3435763337324959
0,NGAr130,0.365,0.7034569734748681,0.4217228136271375,0.4256782650564525,0.4178401944519464
0,NGAr131,0.642,0.7838210325760941,0.6370176586003924,0.7180621379673512,0.5724120560826127
0,NGAr132,0.5670000000000001,0.6709091952003041,0.4847063779002422,0.5240531309297912,0.4508554264072091
0,NGAr133,0.611,0.8279908540691526,0.7316461411121422,0.8087052952592182,0.6679948703856371
0,NGAr134,0.41,0.7609115092264059,0.5568632660825246,0.5769846831514666,0.5380979611843103
0,NGAr135,0.574,0.7285527974334526,0.5360229947303742,0.6285644501434939,0.4672337257963489
0,NGAr136,0.415,0.7294387397937758,0.4696657461016173,0.4661997309708242,0.4731836842303491
0,NGAr137,0.64,0.8523358319078487,0.6730300073188583,0.618371835642538,0.7382875876026561
1,NGAr101,0.604,0.6845609019614198,0.5257416662644416,0.7891145709844832,0.3941808515538127
1,NGAr102,0.6559999999999999,0.7343932922943752,0.6311540041455572,0.8867851930476317,0.4899247194388043
1,NGAr103,0.426,0.5984390185161711,0.3065411236515557,0.6226462889470573,0.2033197308922466
1,NGAr104,0.622,0.7807278145746566,0.6824388349514563,0.8582144950185583,0.5664259927797833
1,NGAr105,0.598,0.5837421991741204,0.2806447900070876,0.6557952550818187,0.17852105891873146
1,NGAr106,0.509,0.6616682726750086,0.4516654668350742,0.7371946414499606,0.3255672319824999
1,NGAr107,0.609,0.6672535681705994,0.4670321696363784,0.7532835704439648,0.33842792208550965
1,NGAr108,0.48200000000000004,0.6673504943668758,0.4637887634164249,0.7306839619393839,0.3397053833793205
1,NGAr109,0.643,0.7733414039750752,0.6941794091912837,0.8559685581443142,0.5838282961016207
1,NGAr110,0.514,0.6879735904876156,0.4914671249162159,0.6818254873298076,0.3842020372782239
1,NGAr111,0.483,0.6622343728779394,0.4521790708815902,0.6487943262411348,0.34701666744479204
1,NGAr112,0.45399999999999996,0.6599840453144284,0.4352702469087127,0.6139039080145097,0.3371626986923775
1,NGAr113,0.5670000000000001,0.6916244433884156,0.5034611413553596,0.7189578621094077,0.3873568095036063
1,NGAr114,0.6729999999999999,0.8786926338667693,0.8195628137893056,0.8170775644654897,0.8220632276662035
1,NGAr115,0.48200000000000004,0.6407043368892664,0.40295663966981454,0.6860961444265622,0.2852422907488987
1,NGAr116,0.662,0.7943664523432995,0.7007377805102981,0.8417718978541668,0.6001808721931898
1,NGAr117,0.606,0.7453680275695598,0.6254415903239328,0.8482621406529154,0.4953290971168437
1,NGAr118,0.626,0.7103902532583616,0.5581190313027238,0.8085037212488534,0.4261462387701647
1,NGAr119,0.562,0.6360884788567255,0.4010728534975915,0.6999955576286622,0.2810532417729421
1,NGAr120,0.642,0.7225395719051748,0.5863844096972749,0.8274038461538461,0.4541053380293001
1,NGAr121,0.33899999999999997,0.7338085875010351,0.5716146783253953,0.7213578314679152,0.4733535285537978
1,NGAr122,0.64,0.7376361417720616,0.6237842490317028,0.8270190493579209,0.5007323746441765
1,NGAr123,0.655,0.7588088136034654,0.6357753270182445,0.8054122810695965,0.5251645126597276
1,NGAr124,0.634,0.6791652856413236,0.5112667697730461,0.7865294434991907,0.3787241978778816
1,NGAr125,0.414,0.631275502541493,0.37764515727962206,0.6109911625474392,0.2732769117267771
1,NGAr126,0.33899999999999997,0.7136910741602729,0.530969851526198,0.6863649233507261,0.4329489207531765
1,NGAr127,0.5579999999999999,0.7073060585665752,0.5450204308614812,0.7814563796779394,0.4184231286834656
1,NGAr128,0.609,0.7986554752836086,0.7095805825716622,0.8529976969003505,0.6074484199529904
1,NGAr129,0.501,0.6081459012940706,0.3316888213838291,0.6799339413957153,0.21934553630342876
1,NGAr130,0.365,0.6552734789515001,0.4181857861764404,0.6250479699132704,0.3142000077163471
1,NGAr131,0.642,0.7288247409249098,0.5836994435125277,0.7980342191481616,0.4601208966501553
1,NGAr132,0.5670000000000001,0.6030879058322419,0.35351639075826,0.6019730124569974,0.25023507901266817
1,NGAr133,0.611,0.7695296352984358,0.6711214492140692,0.8729599882642022,0.5450902262526335
1,NGAr134,0.41,0.7064987569553255,0.5285995475777784,0.7130317620717668,0.419970357230385
1,NGAr135,0.574,0.6755743664006547,0.4817158282450023,0.7465502782648471,0.3555769387884785
1,NGAr136,0.415,0.6784557134224876,0.458574158179513,0.6233514038352618,0.3626982034574969
1,NGAr137,0.64,0.8139250997341465,0.6732494420272864,0.7001553412087713,0.6483349223075251
2,NGAr101,0.604,0.6312102360949639,0.4142536542739117,0.8440123818965343,0.2744882584007212
2,NGAr102,0.6559999999999999,0.6625274897762942,0.4911030123995912,0.9097109322336334,0.3363362482865793
2,NGAr103,0.426,0.5694971563536063,0.23815867763797585,0.7542975859976835,0.14140220028675415
2,NGAr104,0.622,0.7300803437567467,0.6112315427481869,0.8994121380139617,0.4629104349320956
2,NGAr105,0.598,0.5489906655905725,0.17950315201953504,0.7590712287827119,0.10178670057672794
2,NGAr106,0.509,0.6150156245578393,0.35978846218979377,0.812428983480465,0.2310565336548321
2,NGAr107,0.609,0.6112486310077128,0.35251858044482826,0.8244950580146111,0.22418527476893235
